survey_id,question_id,image_id,dataset,filename,type,disease_token
3,92,49,DRIVE,000594-min-unet-drive.png,segmap,normal
3,92,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,92,9,originals,000594.png,original,normal
3,93,22,DRIVE,000594-min-vesselunet-drive.png,segmap,normal
3,93,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,93,9,originals,000594.png,original,normal
3,94,29,DRIVE,000594-min-laddernet-drive.png,segmap,normal
3,94,49,DRIVE,000594-min-unet-drive.png,segmap,normal
3,94,9,originals,000594.png,original,normal
3,95,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,95,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,95,9,originals,000594.png,original,normal
3,96,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,96,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,96,9,originals,000594.png,original,normal
3,97,49,DRIVE,000594-min-unet-drive.png,segmap,normal
3,97,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,97,9,originals,000594.png,original,normal
3,98,29,DRIVE,000594-min-laddernet-drive.png,segmap,normal
3,98,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,98,9,originals,000594.png,original,normal
3,99,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,99,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,99,9,originals,000594.png,original,normal
3,100,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,100,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,100,9,originals,000594.png,original,normal
3,101,49,DRIVE,000594-min-unet-drive.png,segmap,normal
3,101,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,101,9,originals,000594.png,original,normal
3,102,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,102,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,102,9,originals,000594.png,original,normal
3,103,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,103,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,103,9,originals,000594.png,original,normal
3,104,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,104,49,DRIVE,000594-min-unet-drive.png,segmap,normal
3,104,9,originals,000594.png,original,normal
3,105,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,105,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,105,9,originals,000594.png,original,normal
3,106,49,DRIVE,000594-min-unet-drive.png,segmap,normal
3,106,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,106,9,originals,000594.png,original,normal
3,107,22,DRIVE,000594-min-vesselunet-drive.png,segmap,normal
3,107,49,DRIVE,000594-min-unet-drive.png,segmap,normal
3,107,9,originals,000594.png,original,normal
3,108,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,108,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,108,9,originals,000594.png,original,normal
3,109,29,DRIVE,000594-min-laddernet-drive.png,segmap,normal
3,109,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,109,9,originals,000594.png,original,normal
3,110,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,110,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
