,img_pair,question,img1,img2,answer,survey,observer,is_redundant,img1_fname,img2_fname,answer_fname,network,dataset
2829,s15-q619-im142-im143-impicker,619,142,143,142,15,2,False,000007-max-vesselunet-chase.png,000007-max-saunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2830,s15-q598-im141-im142-impicker,598,141,142,141,15,2,False,000007-max-unet-chase.png,000007-max-vesselunet-chase.png,000007-max-unet-chase.png,unet,chase
2831,s15-q622-im141-im143-impicker,622,141,143,143,15,2,False,000007-max-unet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2832,s15-q621-im129-im140-impicker,621,129,140,129,15,2,False,000007-max-vgan-chase.png,000007-max-iternet_uni-chase.png,000007-max-vgan-chase.png,vgan,chase
2833,s15-q618-im136-im140-impicker,618,136,140,136,15,2,True,000007-max-eswanet-chase.png,000007-max-iternet_uni-chase.png,000007-max-eswanet-chase.png,eswanet,chase
2834,s15-q612-im141-im142-impicker,612,141,142,141,15,2,True,000007-max-unet-chase.png,000007-max-vesselunet-chase.png,000007-max-unet-chase.png,unet,chase
2835,s15-q630-im140-im143-impicker,630,140,143,143,15,2,True,000007-max-iternet_uni-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2836,s15-q595-im127-im129-impicker,595,127,129,129,15,2,True,000007-max-iternet-chase.png,000007-max-vgan-chase.png,000007-max-vgan-chase.png,vgan,chase
2837,s15-q624-im142-im143-impicker,624,142,143,143,15,2,True,000007-max-vesselunet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2838,s15-q623-im127-im140-impicker,623,127,140,140,15,2,False,000007-max-iternet-chase.png,000007-max-iternet_uni-chase.png,000007-max-iternet_uni-chase.png,iternet_uni,chase
2839,s15-q628-im127-im141-impicker,628,127,141,141,15,2,False,000007-max-iternet-chase.png,000007-max-unet-chase.png,000007-max-unet-chase.png,unet,chase
2840,s15-q608-im127-im142-impicker,608,127,142,142,15,2,False,000007-max-iternet-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2841,s15-q613-im120-im127-impicker,613,120,127,120,15,2,True,000007-max-laddernet-chase.png,000007-max-iternet-chase.png,000007-max-laddernet-chase.png,laddernet,chase
2842,s15-q602-im136-im143-impicker,602,136,143,143,15,2,False,000007-max-eswanet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2843,s15-q609-im127-im136-impicker,609,127,136,136,15,2,False,000007-max-iternet-chase.png,000007-max-eswanet-chase.png,000007-max-eswanet-chase.png,eswanet,chase
2844,s15-q616-im120-im141-impicker,616,120,141,141,15,2,False,000007-max-laddernet-chase.png,000007-max-unet-chase.png,000007-max-unet-chase.png,unet,chase
2845,s15-q604-im129-im136-impicker,604,129,136,136,15,2,False,000007-max-vgan-chase.png,000007-max-eswanet-chase.png,000007-max-eswanet-chase.png,eswanet,chase
2846,s15-q591-im129-im140-impicker,591,129,140,129,15,2,True,000007-max-vgan-chase.png,000007-max-iternet_uni-chase.png,000007-max-vgan-chase.png,vgan,chase
2847,s15-q611-im120-im142-impicker,611,120,142,142,15,2,True,000007-max-laddernet-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2848,s15-q601-im120-im136-impicker,601,120,136,120,15,2,True,000007-max-laddernet-chase.png,000007-max-eswanet-chase.png,000007-max-laddernet-chase.png,laddernet,chase
2849,s15-q625-im120-im129-impicker,625,120,129,120,15,2,False,000007-max-laddernet-chase.png,000007-max-vgan-chase.png,000007-max-laddernet-chase.png,laddernet,chase
2850,s15-q606-im141-im143-impicker,606,141,143,143,15,2,True,000007-max-unet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2851,s15-q589-im127-im143-impicker,589,127,143,143,15,2,False,000007-max-iternet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2852,s15-q614-im136-im142-impicker,614,136,142,142,15,2,False,000007-max-eswanet-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2853,s15-q599-im136-im141-impicker,599,136,141,141,15,2,True,000007-max-eswanet-chase.png,000007-max-unet-chase.png,000007-max-unet-chase.png,unet,chase
2854,s15-q620-im129-im143-impicker,620,129,143,143,15,2,False,000007-max-vgan-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2855,s15-q617-im136-im143-impicker,617,136,143,143,15,2,True,000007-max-eswanet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2856,s15-q596-im136-im140-impicker,596,136,140,136,15,1,False,000007-max-eswanet-chase.png,000007-max-iternet_uni-chase.png,000007-max-eswanet-chase.png,eswanet,chase
2857,s15-q592-im140-im142-impicker,592,140,142,142,15,1,False,000007-max-iternet_uni-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
